"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate
	"Alabama"	"01"	"2007"	"2007"	64804	4672840	13.87	958472	67.61
	"Alabama"	"01"	"2008"	"2008"	64546	4718206	13.68	960680	67.19
	"Alabama"	"01"	"2009"	"2009"	62475	4757938	13.13	962060	64.94
	"Alabama"	"01"	"2010"	"2010"	60050	4779736	12.56	960620	62.51
	"Alabama"	"01"	"2011"	"2011"	59354	4802740	12.36	960184	61.82
	"Alabama"	"01"	"2012"	"2012"	58448	4822023	12.12	959003	60.95
	"Alabama"	"01"	"2013"	"2013"	58167	4833722	12.03	959756	60.61
	"Alabama"	"01"	"2014"	"2014"	59422	4849377	12.25	961109	61.83
	"Alabama"	"01"	"2015"	"2015"	59657	4858979	12.28	958981	62.21
	"Alabama"	"01"	"2016"	"2016"	59151	4863300	12.16	952796	62.08
	"Alabama"	"01"	"2017"	"2017"	58941	4874747	12.09	949949	62.05
"Total"	"Alabama"	"01"			665015	52833608	12.59	10543610	63.07
	"Alaska"	"02"	"2007"	"2007"	11052	680300	16.25	141687	78.00
	"Alaska"	"02"	"2008"	"2008"	11442	687455	16.64	140747	81.29
	"Alaska"	"02"	"2009"	"2009"	11324	698895	16.20	142508	79.46
	"Alaska"	"02"	"2010"	"2010"	11471	710231	16.15	143229	80.09
	"Alaska"	"02"	"2011"	"2011"	11456	722718	15.85	145873	78.53
	"Alaska"	"02"	"2012"	"2012"	11187	731449	15.29	147310	75.94
	"Alaska"	"02"	"2013"	"2013"	11446	735132	15.57	147110	77.81
	"Alaska"	"02"	"2014"	"2014"	11392	736732	15.46	147302	77.34
	"Alaska"	"02"	"2015"	"2015"	11282	738432	15.28	146514	77.00
	"Alaska"	"02"	"2016"	"2016"	11209	741894	15.11	147371	76.06
	"Alaska"	"02"	"2017"	"2017"	10445	739795	14.12	146072	71.51
"Total"	"Alaska"	"02"			123706	7923033	15.61	1595723	77.52
	"Arizona"	"04"	"2007"	"2007"	102981	6167681	16.70	1246026	82.65
	"Arizona"	"04"	"2008"	"2008"	99442	6280362	15.83	1259250	78.97
	"Arizona"	"04"	"2009"	"2009"	92798	6343154	14.63	1262564	73.50
	"Arizona"	"04"	"2010"	"2010"	87477	6392017	13.69	1262557	69.29
	"Arizona"	"04"	"2011"	"2011"	85543	6482505	13.20	1271186	67.29
	"Arizona"	"04"	"2012"	"2012"	86441	6553255	13.19	1281057	67.48
	"Arizona"	"04"	"2013"	"2013"	85600	6626624	12.92	1290612	66.33
	"Arizona"	"04"	"2014"	"2014"	86887	6731484	12.91	1308000	66.43
	"Arizona"	"04"	"2015"	"2015"	85351	6828065	12.50	1319880	64.67
	"Arizona"	"04"	"2016"	"2016"	84520	6931071	12.19	1330368	63.53
	"Arizona"	"04"	"2017"	"2017"	81872	7016270	11.67	1345764	60.84
"Total"	"Arizona"	"04"			978912	72352488	13.53	14177264	69.05
	"Arkansas"	"05"	"2007"	"2007"	41378	2848650	14.53	569041	72.72
	"Arkansas"	"05"	"2008"	"2008"	40669	2874554	14.15	569079	71.46
	"Arkansas"	"05"	"2009"	"2009"	39808	2896843	13.74	568923	69.97
	"Arkansas"	"05"	"2010"	"2010"	38540	2915918	13.22	569446	67.68
	"Arkansas"	"05"	"2011"	"2011"	38715	2937979	13.18	570789	67.83
	"Arkansas"	"05"	"2012"	"2012"	38347	2949131	13.00	572675	66.96
	"Arkansas"	"05"	"2013"	"2013"	37832	2959373	12.78	574203	65.89
	"Arkansas"	"05"	"2014"	"2014"	38511	2966369	12.98	574772	67.00
	"Arkansas"	"05"	"2015"	"2015"	38886	2978204	13.06	576460	67.46
